Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price
Domestic,3/23/2023,92,23431,BOS,El Paso International Airport,4128,ELP,914,419,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/23/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,155,31,14,Boston Logan International Airport,49,El Paso,2866
Domestic,3/23/2023,104,23734,ELP,Logan International Airport,4128,BOS,1147,180,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/23/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,162,34,14,El Paso International Airport,44,Boston,2905
Domestic,3/23/2023,98,23137,LAS,El Paso International Airport,1164,ELP,738,507,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/23/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,172,37,11,Harry Reid International Airport,63,El Paso,2739
Domestic,3/23/2023,88,23440,ELP,Harry Reid International Airport,1164,LAS,620,148,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/23/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,164,40,14,El Paso International Airport,62,Las Vegas,1898
International,3/23/2023,93,23743,LHR,El Paso International Airport,15444,ELP,3195,1317,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/23/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,144,43,8,Heathrow Airport,43,El Paso,5011
International,3/23/2023,95,23146,ELP,Heathrow Airport,15444,LHR,2987,888,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/23/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,154,46,11,El Paso International Airport,48,London,8684
International,3/23/2023,87,23449,MEX,Abraham Gonzalez International Airport,2871,CJS,5222,873,5:30 AM,142,3,FALSE,957,1,8:52 AM,3/23/2023,Chihuahua,Mexico,2.5,Ciudad de Mexico,TRUE,Distrito Federal,Mexico,4.5,FALSE,71871,138,49,11,Aeropuerto Internacional Benito Juarez,40,Juarez,10438
International,3/23/2023,103,23752,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,2972,1196,5:30 AM,142,3,FALSE,957,-1,6:52 AM,3/23/2023,Distrito Federal,Mexico,4.5,Juarez,TRUE,Chihuahua,Mexico,2.5,FALSE,56292,157,52,8,Abraham Gonzalez International Airport,46,Ciudad de Mexico,5162
Domestic,3/23/2023,96,23155,LAX,Orlando International Airport,3854,ORL,727,121,5:30 AM,281,0,TRUE,1927,-3,7:11 AM,3/23/2023,Florida,United States,5,Los Angeles,FALSE,California,United States,4,TRUE,70024,156,55,11,Los Angeles International Airport,49,Orlando,2115
Domestic,3/23/2023,86,23458,ORL,Los Angeles International Airport,3854,LAX,739,485,5:30 AM,281,0,TRUE,1927,3,1:11 PM,3/23/2023,California,United States,4,Orlando,FALSE,Florida,United States,5,TRUE,71901,136,58,9,Orlando International Airport,41,Los Angeles,2768
Domestic,3/23/2023,100,23761,LAX,Logan International Airport,4538,BOS,629,200,5:30 AM,326,0,TRUE,2269,-3,7:56 AM,3/23/2023,Massachusetts,United States,3,Los Angeles,TRUE,California,United States,4,TRUE,51587,166,61,13,Los Angeles International Airport,53,Boston,1341
Domestic,3/23/2023,102,23164,BOS,Los Angeles International Airport,4538,LAX,1050,399,5:30 AM,326,0,TRUE,2269,3,1:56 PM,3/23/2023,California,United States,4,Boston,TRUE,Massachusetts,United States,3,TRUE,51892,161,64,11,Boston Logan International Airport,48,Los Angeles,2885
International,3/23/2023,101,23467,CUN,El Paso International Airport,3687,ELP,3442,1022,5:30 AM,190,4,FALSE,1229,2,10:40 AM,3/23/2023,Texas,United States,3.5,Cancun,TRUE,Quintana Roo,Mexico,4,TRUE,76340,164,67,9,Cancun International Airport,54,El Paso,4551
International,3/23/2023,99,23770,ELP,Cancun International Airport,3687,CUN,3600,734,5:30 AM,190,4,TRUE,1229,-2,6:40 AM,3/23/2023,Quintana Roo,Mexico,4,El Paso,TRUE,Texas,United States,3.5,FALSE,71648,160,70,10,El Paso International Airport,51,Cancun,7643
International,3/23/2023,97,23173,YYZ,El Paso International Airport,4347,ELP,5213,975,5:30 AM,219,4,FALSE,1449,2,11:09 AM,3/23/2023,Texas,United States,3.5,Toronto,TRUE,Ontario,Canada,4,TRUE,57452,154,73,11,Toronto Pearson International Airport,46,El Paso,9751
International,3/23/2023,102,23476,ELP,Toronto Pearson International Airport,4347,YYZ,3042,1166,5:30 AM,219,4,TRUE,1449,-2,7:09 AM,3/23/2023,Ontario,Canada,4,El Paso,TRUE,Texas,United States,3.5,FALSE,64960,177,76,11,El Paso International Airport,64,Toronto,13334
International,3/24/2023,102,23779,CDG,El Paso International Airport,13986,ELP,2736,1057,5:30 AM,639,12,FALSE,4662,8,12:09 AM,3/23/2023,Texas,United States,3.5,Paris,TRUE,Ill de France,France,5,TRUE,67763,167,79,13,Paris Charles de Gaulle Airport,52,El Paso,7274
International,3/23/2023,91,23182,ELP,Paris Charles de Gaulle Airport,13986,CDG,3361,733,5:30 AM,639,12,TRUE,4662,-8,8:09 AM,3/23/2023,Ill de France,France,5,El Paso,TRUE,Texas,United States,3.5,FALSE,54532,153,82,14,El Paso International Airport,48,Paris,10284
International,3/24/2023,96,23485,HND,El Paso International Airport,15966,ELP,3401,1155,5:30 AM,725,14,FALSE,5322,16,9:35 AM,3/23/2023,Texas,United States,3.5,Tokyo,TRUE,Honshu,Japan,6,TRUE,75881,153,85,10,Tokyo Haneda Airport,47,El Paso,5291
International,3/23/2023,104,23788,ELP,Tokyo Haneda Airport,15966,HND,3763,739,5:30 AM,725,14,TRUE,5322,-16,1:35 AM,3/23/2023,Honshu,Japan,6,El Paso,TRUE,Texas,United States,3.5,FALSE,51367,166,88,15,El Paso International Airport,47,Tokyo,5990
Domestic,3/24/2023,85,23191,DFW,El Paso International Airport,1102,ELP,664,355,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/24/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,138,91,9,Dallas/Ft. Worth International Airport,44,El Paso,2852
Domestic,3/24/2023,94,23494,ELP,Dallas/Ft. Worth International Airport,1102,DFW,668,348,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/24/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,153,94,15,El Paso International Airport,44,Dallas,2265
Domestic,3/24/2023,86,23797,LAX,El Paso International Airport,1428,ELP,764,455,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/24/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,156,97,13,Los Angeles International Airport,57,El Paso,3090
Domestic,3/24/2023,101,231100,ELP,Los Angeles International Airport,1428,LAX,747,373,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/24/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,172,100,13,El Paso International Airport,58,Los Angeles,3339
Domestic,3/24/2023,97,234103,ORD,El Paso International Airport,2470,ELP,632,455,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/24/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,173,103,15,Chicago International Airport,61,El Paso,2996
Domestic,3/24/2023,104,237106,ELP,Chicago International Airport,2470,ORD,946,471,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/24/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,169,106,9,El Paso International Airport,56,Chicago,3468
Domestic,3/24/2023,101,231109,ATL,El Paso International Airport,2560,ELP,665,205,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/24/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,175,109,13,Hartsfield-Jackson Atlanta International Airport,61,El Paso,1294
Domestic,3/24/2023,102,234112,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,1045,516,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/24/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,170,112,13,El Paso International Airport,55,Atlanta,2762
Domestic,3/24/2023,89,237115,JFK,El Paso International Airport,3806,ELP,855,183,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/24/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,141,115,8,John F. Kennedy International Airport,44,El Paso,2183
Domestic,3/24/2023,91,231118,ELP,John F. Kennedy International Airport,3806,JFK,639,175,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/24/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,147,118,9,El Paso International Airport,47,New York,1494
Domestic,3/24/2023,102,234121,BOS,El Paso International Airport,4128,ELP,810,375,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/24/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,155,121,13,Boston Logan International Airport,40,El Paso,1494
Domestic,3/24/2023,89,237124,ELP,Logan International Airport,4128,BOS,1000,476,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/24/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,157,124,14,El Paso International Airport,54,Boston,2141
Domestic,3/24/2023,96,231127,LAS,El Paso International Airport,1164,ELP,738,491,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/24/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,156,127,9,Harry Reid International Airport,51,El Paso,2982
Domestic,3/24/2023,104,234130,ELP,Harry Reid International Airport,1164,LAS,605,436,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/24/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,170,130,11,El Paso International Airport,55,Las Vegas,1334
International,3/24/2023,92,237133,LHR,El Paso International Airport,15444,ELP,3718,1190,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/24/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,157,133,15,Heathrow Airport,50,El Paso,5158
International,3/24/2023,85,231136,ELP,Heathrow Airport,15444,LHR,3417,1337,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/24/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,154,136,9,El Paso International Airport,60,London,11274
International,3/24/2023,99,234139,MEX,Abraham Gonzalez International Airport,2871,CJS,3092,761,5:30 AM,142,3,FALSE,957,1,8:52 AM,3/24/2023,Chihuahua,Mexico,2.5,Ciudad de Mexico,TRUE,Distrito Federal,Mexico,4.5,FALSE,71871,166,139,11,Aeropuerto Internacional Benito Juarez,56,Juarez,5249
International,3/24/2023,102,237142,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,4681,936,5:30 AM,142,3,FALSE,957,-1,6:52 AM,3/24/2023,Distrito Federal,Mexico,4.5,Juarez,TRUE,Chihuahua,Mexico,2.5,FALSE,56292,174,142,11,Abraham Gonzalez International Airport,61,Ciudad de Mexico,5956
Domestic,3/24/2023,86,231145,LAX,Orlando International Airport,3854,ORL,1042,296,5:30 AM,281,0,TRUE,1927,-3,7:11 AM,3/24/2023,Florida,United States,5,Los Angeles,FALSE,California,United States,4,TRUE,70024,149,145,8,Los Angeles International Airport,55,Orlando,1395
Domestic,3/24/2023,87,234148,ORL,Los Angeles International Airport,3854,LAX,938,454,5:30 AM,281,0,TRUE,1927,3,1:11 PM,3/24/2023,California,United States,4,Orlando,FALSE,Florida,United States,5,TRUE,71901,148,148,11,Orlando International Airport,50,Los Angeles,1631
Domestic,3/24/2023,97,237151,LAX,Logan International Airport,4538,BOS,649,386,5:30 AM,326,0,TRUE,2269,-3,7:56 AM,3/24/2023,Massachusetts,United States,3,Los Angeles,TRUE,California,United States,4,TRUE,51587,168,151,15,Los Angeles International Airport,56,Boston,2565
Domestic,3/24/2023,87,231154,BOS,Los Angeles International Airport,4538,LAX,954,513,5:30 AM,326,0,TRUE,2269,3,1:56 PM,3/24/2023,California,United States,4,Boston,TRUE,Massachusetts,United States,3,TRUE,51892,145,154,15,Boston Logan International Airport,43,Los Angeles,1324
International,3/24/2023,104,234157,CUN,El Paso International Airport,3687,ELP,4056,1221,5:30 AM,190,4,FALSE,1229,2,10:40 AM,3/24/2023,Texas,United States,3.5,Cancun,TRUE,Quintana Roo,Mexico,4,TRUE,76340,179,157,11,Cancun International Airport,64,El Paso,8723
International,3/24/2023,102,237160,ELP,Cancun International Airport,3687,CUN,4527,1276,5:30 AM,190,4,TRUE,1229,-2,6:40 AM,3/24/2023,Quintana Roo,Mexico,4,El Paso,TRUE,Texas,United States,3.5,FALSE,71648,172,160,10,El Paso International Airport,60,Cancun,4364
International,3/24/2023,102,231163,YYZ,El Paso International Airport,4347,ELP,5025,967,5:30 AM,219,4,FALSE,1449,2,11:09 AM,3/24/2023,Texas,United States,3.5,Toronto,TRUE,Ontario,Canada,4,TRUE,57452,158,163,9,Toronto Pearson International Airport,47,El Paso,5671
International,3/24/2023,97,234166,ELP,Toronto Pearson International Airport,4347,YYZ,4244,1281,5:30 AM,219,4,TRUE,1449,-2,7:09 AM,3/24/2023,Ontario,Canada,4,El Paso,TRUE,Texas,United States,3.5,FALSE,64960,146,166,8,El Paso International Airport,41,Toronto,7342
International,3/25/2023,103,237169,CDG,El Paso International Airport,13986,ELP,4575,1196,5:30 AM,639,12,FALSE,4662,8,12:09 AM,3/24/2023,Texas,United States,3.5,Paris,TRUE,Ill de France,France,5,TRUE,67763,176,169,12,Paris Charles de Gaulle Airport,61,El Paso,8683
International,3/24/2023,96,231172,ELP,Paris Charles de Gaulle Airport,13986,CDG,3179,874,5:30 AM,639,12,TRUE,4662,-8,8:09 AM,3/24/2023,Ill de France,France,5,El Paso,TRUE,Texas,United States,3.5,FALSE,54532,153,172,15,El Paso International Airport,42,Paris,6895
International,3/25/2023,104,234175,HND,El Paso International Airport,15966,ELP,3300,801,5:30 AM,725,14,FALSE,5322,16,9:35 AM,3/24/2023,Texas,United States,3.5,Tokyo,TRUE,Honshu,Japan,6,TRUE,75881,177,175,11,Tokyo Haneda Airport,62,El Paso,8723
International,3/24/2023,90,237178,ELP,Tokyo Haneda Airport,15966,HND,3018,1263,5:30 AM,725,14,TRUE,5322,-16,1:35 AM,3/24/2023,Honshu,Japan,6,El Paso,TRUE,Texas,United States,3.5,FALSE,51367,148,178,13,El Paso International Airport,45,Tokyo,8459
Domestic,3/25/2023,93,231181,DFW,El Paso International Airport,1102,ELP,1145,173,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/25/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,163,181,9,Dallas/Ft. Worth International Airport,61,El Paso,2218
Domestic,3/25/2023,94,234184,ELP,Dallas/Ft. Worth International Airport,1102,DFW,977,358,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/25/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,155,184,11,El Paso International Airport,50,Dallas,2966
Domestic,3/25/2023,99,237187,LAX,El Paso International Airport,1428,ELP,771,220,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/25/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,172,187,10,Los Angeles International Airport,63,El Paso,1964
Domestic,3/25/2023,91,231190,ELP,Los Angeles International Airport,1428,LAX,1054,413,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/25/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,156,190,8,El Paso International Airport,57,Los Angeles,2260
Domestic,3/25/2023,98,234193,ORD,El Paso International Airport,2470,ELP,628,214,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/25/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,147,193,9,Chicago International Airport,40,El Paso,1324
Domestic,3/25/2023,86,237196,ELP,Chicago International Airport,2470,ORD,1045,381,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/25/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,160,196,13,El Paso International Airport,61,Chicago,2451
Domestic,3/25/2023,88,231199,ATL,El Paso International Airport,2560,ELP,1004,477,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/25/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,144,199,12,Hartsfield-Jackson Atlanta International Airport,44,El Paso,3343
Domestic,3/25/2023,93,234202,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,818,131,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/25/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,154,202,15,El Paso International Airport,46,Atlanta,1394
Domestic,3/25/2023,89,237205,JFK,El Paso International Airport,3806,ELP,773,265,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/25/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,158,205,10,John F. Kennedy International Airport,59,El Paso,2055
Domestic,3/25/2023,91,231208,ELP,John F. Kennedy International Airport,3806,JFK,837,248,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/25/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,146,208,11,El Paso International Airport,44,New York,3314
Domestic,3/25/2023,104,234211,BOS,El Paso International Airport,4128,ELP,1135,332,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/25/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,176,211,15,Boston Logan International Airport,57,El Paso,3067
Domestic,3/25/2023,88,237214,ELP,Logan International Airport,4128,BOS,712,532,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/25/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,159,214,13,El Paso International Airport,58,Boston,3035
Domestic,3/25/2023,97,231217,LAS,El Paso International Airport,1164,ELP,1032,277,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/25/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,151,217,9,Harry Reid International Airport,45,El Paso,2788
Domestic,3/25/2023,94,234220,ELP,Harry Reid International Airport,1164,LAS,1143,304,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/25/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,146,220,12,El Paso International Airport,40,Las Vegas,2072
International,3/25/2023,88,237223,LHR,El Paso International Airport,15444,ELP,3360,1154,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/25/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,148,223,12,Heathrow Airport,48,El Paso,11968
International,3/25/2023,100,231226,ELP,Heathrow Airport,15444,LHR,5142,959,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/25/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,151,226,9,El Paso International Airport,42,London,5081
International,3/25/2023,103,234229,MEX,Abraham Gonzalez International Airport,2871,CJS,4498,1430,5:30 AM,142,3,FALSE,957,1,8:52 AM,3/25/2023,Chihuahua,Mexico,2.5,Ciudad de Mexico,TRUE,Distrito Federal,Mexico,4.5,FALSE,71871,158,229,13,Aeropuerto Internacional Benito Juarez,42,Juarez,6254
International,3/25/2023,89,237232,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,5564,754,5:30 AM,142,3,FALSE,957,-1,6:52 AM,3/25/2023,Distrito Federal,Mexico,4.5,Juarez,TRUE,Chihuahua,Mexico,2.5,FALSE,56292,142,232,8,Abraham Gonzalez International Airport,45,Ciudad de Mexico,7615
Domestic,3/25/2023,104,231235,LAX,Orlando International Airport,3854,ORL,1034,347,5:30 AM,281,0,TRUE,1927,-3,7:11 AM,3/25/2023,Florida,United States,5,Los Angeles,FALSE,California,United States,4,TRUE,70024,165,235,13,Los Angeles International Airport,48,Orlando,1551
Domestic,3/25/2023,98,234238,ORL,Los Angeles International Airport,3854,LAX,999,325,5:30 AM,281,0,TRUE,1927,3,1:11 PM,3/25/2023,California,United States,4,Orlando,FALSE,Florida,United States,5,TRUE,71901,169,238,13,Orlando International Airport,58,Los Angeles,1503
Domestic,3/25/2023,104,237241,LAX,Logan International Airport,4538,BOS,918,254,5:30 AM,326,0,TRUE,2269,-3,7:56 AM,3/25/2023,Massachusetts,United States,3,Los Angeles,TRUE,California,United States,4,TRUE,51587,157,241,13,Los Angeles International Airport,40,Boston,2184
Domestic,3/25/2023,98,231244,BOS,Los Angeles International Airport,4538,LAX,655,203,5:30 AM,326,0,TRUE,2269,3,1:56 PM,3/25/2023,California,United States,4,Boston,TRUE,Massachusetts,United States,3,TRUE,51892,157,244,14,Boston Logan International Airport,45,Los Angeles,3147
International,3/25/2023,85,234247,CUN,El Paso International Airport,3687,ELP,3563,962,5:30 AM,190,4,FALSE,1229,2,10:40 AM,3/25/2023,Texas,United States,3.5,Cancun,TRUE,Quintana Roo,Mexico,4,TRUE,76340,141,247,12,Cancun International Airport,44,El Paso,8188
International,3/25/2023,88,237250,ELP,Cancun International Airport,3687,CUN,4463,796,5:30 AM,190,4,TRUE,1229,-2,6:40 AM,3/25/2023,Quintana Roo,Mexico,4,El Paso,TRUE,Texas,United States,3.5,FALSE,71648,142,250,14,El Paso International Airport,40,Cancun,4895
International,3/25/2023,97,231253,YYZ,El Paso International Airport,4347,ELP,3677,963,5:30 AM,219,4,FALSE,1449,2,11:09 AM,3/25/2023,Texas,United States,3.5,Toronto,TRUE,Ontario,Canada,4,TRUE,57452,165,253,11,Toronto Pearson International Airport,57,El Paso,7188
International,3/25/2023,90,234256,ELP,Toronto Pearson International Airport,4347,YYZ,2872,663,5:30 AM,219,4,TRUE,1449,-2,7:09 AM,3/25/2023,Ontario,Canada,4,El Paso,TRUE,Texas,United States,3.5,FALSE,64960,142,256,9,El Paso International Airport,43,Toronto,11160
International,3/26/2023,90,237259,CDG,El Paso International Airport,13986,ELP,5678,1276,5:30 AM,639,12,FALSE,4662,8,12:09 AM,3/25/2023,Texas,United States,3.5,Paris,TRUE,Ill de France,France,5,TRUE,67763,150,259,11,Paris Charles de Gaulle Airport,49,El Paso,4558
International,3/25/2023,93,231262,ELP,Paris Charles de Gaulle Airport,13986,CDG,5216,1427,5:30 AM,639,12,TRUE,4662,-8,8:09 AM,3/25/2023,Ill de France,France,5,El Paso,TRUE,Texas,United States,3.5,FALSE,54532,158,262,10,El Paso International Airport,55,Paris,7427
International,3/26/2023,87,234265,HND,El Paso International Airport,15966,ELP,3084,1292,5:30 AM,725,14,FALSE,5322,16,9:35 AM,3/25/2023,Texas,United States,3.5,Tokyo,TRUE,Honshu,Japan,6,TRUE,75881,146,265,14,Tokyo Haneda Airport,45,El Paso,12559
International,3/25/2023,98,237268,ELP,Tokyo Haneda Airport,15966,HND,5539,818,5:30 AM,725,14,TRUE,5322,-16,1:35 AM,3/25/2023,Honshu,Japan,6,El Paso,TRUE,Texas,United States,3.5,FALSE,51367,164,268,8,El Paso International Airport,58,Tokyo,5248
Domestic,3/26/2023,88,231271,DFW,El Paso International Airport,1102,ELP,808,300,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/26/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,161,271,14,Dallas/Ft. Worth International Airport,59,El Paso,2875
Domestic,3/26/2023,89,234274,ELP,Dallas/Ft. Worth International Airport,1102,DFW,563,351,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/26/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,157,274,11,El Paso International Airport,57,Dallas,3416
